Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é o imperialismo segundo o contexto?,Extender poder e domínio  ,1.66667,4.69839,0.75,0.000,0.75,3.01273,1.0,1.000
Como o imperialismo difere do colonialismo?,Conceito distinto com formas de expansão  ,1.71429,3.79304,1.0,0.000,1.0,3.79304,1.0,0.250
Qual partido canadense tem ideologia imperialista?,Partido Canadense  ,2.0,3.79304,1.0,0.400,0.5,1.85566,1.0,0.000
Quais poderes o imperialismo utiliza?,Poderes duros e suaves  ,1.5,3.43523,1.0,0.000,0.75,3.01273,1.0,0.000
Qual imagem representa o imperialismo?,Mapa do Império Romano  ,1.66667,3.43523,1.0,0.333,1.5,3.01273,1.0,0.250
Qual império é associado à imagem imperialista?,Império Japonês  ,2.125,4.10211,1.0,0.400,0.5,1.85566,1.0,0.000
Qual tipo de advocacy é o imperialismo?,Política estatal e prática  ,2.0,4.10211,1.0,0.250,1.0,3.01273,1.0,0.333
Qual expansão está ligada ao imperialismo?,Império Mongol  ,1.71429,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
Qual obra trata do imperialismo?,Culture and Imperialism  ,1.66667,3.43523,1.0,0.333,1.0,2.50045,1.0,0.000
Qual modelo da Wikipedia é usado para imperialismo?,Template:Politics,2.33333,4.37319,1.0,0.400,1.0,1.85566,1.0,0.000
