Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual a origem do nome Ctenophora?,κτείς kteis 'pente' e φέρω pherō 'portador',2.0,3.79304,1.0,0.667,1.72727,4.10211,1.0,0.333
Qual a principal característica distintiva dos Ctenophora?,A presença de pentes formados por grupos de cílios que utilizam para nadar,2.0,4.10211,1.0,0.500,1.15385,5.48607,0.92308,0.286
Qual a distribuição natural dos Ctenophora?,Águas oceânicas e estuarinas,1.71429,3.79304,1.0,0.667,1.0,3.01273,1.0,0.000
Como os Ctenophora se locomovem?,Utilizando cílios,1.5,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual a semelhança superficial entre Ctenophora e Medusas?,Morfologia globosa,2.22222,4.37319,1.0,0.500,0.5,1.85566,1.0,0.000
Em que período do registro fóssil os Ctenophora foram encontrados?,Cambriano,2.54545,4.82961,1.0,0.500,0.0,1.0,1.0,0.000
Qual a função dos pentes presentes nos Ctenophora?,Nadar,2.77778,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Qual a espécie-tipo dos Ctenophora?,Mnemiopsis leidyi,1.66667,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual a subdivisão dos Ctenophora?,*Tentaculata,1.66667,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Quem descreveu os Ctenophora?,Eschscholtz,1.4,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
