Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o principal risco na construção de um edifício?,Acidentes por queda de materiais,1.72727,4.82961,1.0,0.800,0.8,3.43523,1.0,0.333
Quem utiliza a pickaxe na construção?,O operador de equipamentos pesados,2.0,3.79304,1.0,0.333,0.8,3.43523,1.0,0.000
Quais são os principais benefícios da tecnologia moderna na construção?,Melhor qualidade,2.63636,4.82961,1.0,0.500,0.5,1.85566,1.0,0.500
Qual é a principal ferramenta usada no canteiro de obra?,Pickaxe eletrônico,2.09091,4.82961,1.0,0.500,0.5,1.85566,1.0,0.500
Qual é o objetivo principal da prevenção de acidentes na construção?,Prevenir lesões e mortes,1.91667,5.02467,1.0,0.667,0.75,3.01273,1.0,0.000
Qual é o documento mais importante para autorizar um projeto de construção?,Projeto inicial ou planta baixa,2.46154,5.20226,1.0,0.857,1.0,3.43523,1.0,0.500
Qual é a principal vantagem do uso de andamento em concreto armado?,Melhor resistência ao traço e durabilidade aumentada,1.84615,5.20226,1.0,0.857,1.71429,4.10211,1.0,0.400
Qual é a função da grade elevadora na construção?,Elevar materiais e ferramentas pesadas,2.7,4.61384,1.0,0.600,1.0,3.43523,1.0,0.000
Qual é o principal objetivo das normas de segurança na construção?,Garantir um ambiente de trabalho seguro para os trabalhadores,1.91667,5.02467,1.0,1.000,1.0,4.61384,1.0,0.800
Qual é a consequência mais séria de uma falha na segurança nas alturas na construção?,Acidente fatal ou graves ferimentos,2.875,5.76639,0.93333,0.500,1.4,3.43523,1.0,0.250
