Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o foco principal da Farmácia?,Estudo de fármacos,1.75,4.10211,1.0,0.500,0.66667,2.50045,1.0,0.000
Quem trabalha na área farmacêutica?,Farmacêuticos,1.5,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
O que os farmacêuticos estudam e utilizam?,Fármacos,2.25,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Em quais estabelecimentos são fornecidos serviços farmacêuticos?,Hospitais como Apollo Hospitals,2.0,4.10211,1.0,0.200,0.75,3.01273,1.0,0.000
Qual é a origem da palavra 'farmácia'?,Do grego φάρμακον (pharmakon),2.4,4.10211,1.0,0.750,2.5,3.01273,1.0,0.333
Qual órgão está relacionado à Farmácia na Austrália?,Australian Pharmaceutical Formulary,2.44444,4.37319,1.0,0.200,1.0,2.50045,1.0,0.000
O que alguém com formação em Farmácia se torna?,Farmacêutico,2.3,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
Em quais setores a Farmácia atua?,Saúde e ciências químicas,1.71429,3.79304,1.0,0.000,0.75,3.01273,1.0,0.000
Qual é a finalidade da American Society of Consultant Pharmacists?,Prestar consultoria farmacêutica,3.09091,4.82961,1.0,0.143,0.66667,2.50045,1.0,0.000
Quais empresas são parte da indústria farmacêutica?,Bartell Drugs,1.875,4.10211,1.0,0.600,0.5,1.85566,1.0,0.000
