Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quais são os três principais campi da universidade?,cambridge,1.77778,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Qual é a localização geográfica da universidade?,Cambridge,2.0,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
Em que ano foi fundada Harvard University?,1636,2.0,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Quem é o benefactor para quem a universidade foi nomeada?,John Harvard,2.36364,4.96484,0.9,0.200,0.5,1.85566,1.0,0.000
Quais são as instituições acadêmicas oferecidas pela Faculdade de Artes e Ciências?,um amplo espectro de disciplinas subgraduadas e graduadas,2.53846,5.20226,1.0,0.444,1.0,4.37319,1.0,0.200
Em que ano a universidade passou a ser coeducacional?,1977,2.0,4.75438,0.88889,0.800,0.0,1.0,1.0,0.000
Qual associação Harvard encontrou em 1900?,Associação de Universidades Americanas,2.0,3.79304,1.0,0.250,0.75,3.01273,1.0,0.250
Quais são os principais fatores que permitem que Harvard admita estudantes sem considerar a necessidade financeira?,endowment income,2.52941,5.89142,0.9375,0.300,0.5,1.85566,1.0,0.000
Quantas bibliotecas compõem o sistema de biblioteca principal da universidade?,79,1.90909,4.82961,1.0,0.667,0.0,1.0,1.0,0.000
Quantos volumes estão contidos na biblioteca?,20.4 milhões,1.71429,3.79304,1.0,0.250,0.5,1.85566,1.0,0.000
