Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o estado onde se encontra Jacksonville?,Flórida,1.66667,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Quais são os principais fatores que tornam Jacksonville a maior cidade em área geográfica dos Estados Unidos?,Sua localização na costa nordeste da península da Flórida e seu tamanho considerável.,2.0,5.90165,1.0,0.364,3.78571,5.48607,0.92308,0.571
Jacksonville é a capital do estado da Flórida?,Não,2.33333,4.37319,1.0,0.600,0.0,1.0,1.0,0.000
Qual é o número de habitantes de Jacksonville em relação à Los Angeles?,Menos,2.0,5.48607,0.92308,0.167,0.0,1.0,1.0,0.000
Quando Jacksonville foi fundada?,1822,1.4,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Em que região da Flórida se localiza Jacksonville?,Nordeste da península da Flórida,2.22222,4.37319,1.0,0.250,2.0,3.59796,0.8,0.333
Qual é o nome do rio que atravessa Jacksonville?,Rio St. Johns,1.8,4.61384,1.0,0.400,0.5,2.50045,1.0,0.000
Quais são as principais indústrias econômicas de Jacksonville?,Logística,1.66667,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Qual é a população estimada de Jacksonville em 2021?,861.413 habitantes,1.8,4.61384,1.0,0.200,0.5,1.85566,1.0,0.000
Quando foi proclamada a independência de Jacksonville?,Jacksonville não é um país e não teve uma declaração de independência.,1.625,4.10211,1.0,0.250,2.07692,5.32781,0.91667,0.625
