Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual a principal característica que diferencia uma escola privada de uma escola pública?,Não dependência do governo para financiamento,1.85714,5.62279,0.84615,0.571,1.33333,3.79304,1.0,0.500
Qual é o significado da palavra private school?,Escola não governamental,2.33333,4.37319,1.0,0.400,0.66667,2.50045,1.0,0.667
O que significa que uma escola é independent?,Não depende do governo para financiamento,1.77778,4.51932,0.875,0.250,1.33333,3.79304,1.0,0.250
Quais são os principais diferenciais de uma escola privada?,Não financiada pelo governo,1.7,4.61384,1.0,0.600,0.75,3.01273,1.0,0.333
Como a autonomia de uma escola privada é geralmente garantida?,Governança independente,2.18182,4.82961,1.0,0.500,0.5,1.85566,1.0,0.500
O que significa que uma escola privada tem um board of governors?,Conselho de administração independente,2.0,5.32781,0.91667,0.286,0.75,3.01273,1.0,0.667
Qual o papel do board of governors numa escola privada?,Garantir a independência da escola,3.63636,4.82961,1.0,0.500,1.0,3.43523,1.0,0.667
Como o financiamento é normalmente assegurado numa escola privada?,Financiamento privado ou de doadores,1.9,4.61384,1.0,0.333,0.8,3.43523,1.0,0.333
Que tipo de escolas são consideradas private schools?,Escolas sem financiamento governamental,2.0,4.37319,1.0,0.333,0.75,3.01273,1.0,0.000
Qual a principal característica que define uma escola como independent?,Não dependência governamental,1.72727,4.82961,1.0,0.600,0.66667,2.50045,1.0,0.333
