Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual o ano de fundação da dinastia Yuan?,1271,2.0,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Quem fundou a dinastia Yuan?,Kublai Khan,1.5,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Qual o título alternativo da dinastia Yuan?,Dà Yuán,2.375,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
Qual o ano de dissolução da dinastia Yuan?,1368,2.0,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Qual o tipo de entidade que a dinastia Yuan é classificada?,Country,2.25,5.02467,1.0,0.167,0.0,1.0,1.0,0.000
Qual a capital da dinastia Yuan?,Khanbaliq,2.0,3.79304,1.0,0.667,0.0,1.0,1.0,0.000
Qual a imagem representativa associada à dinastia Yuan que mostra uma paisagem de lagos?,2014.09.04.154246 Houhai Lake Beijing.jpg,2.93333,5.51466,1.0,0.250,2.5,3.01273,1.0,0.000
Qual dinastia ocorreu antes da dinastia Yuan?,Jin dynasty (1115–1234),1.875,4.25402,0.85714,0.000,3.0,2.50045,1.0,0.000
Qual o idioma comum falado na dinastia Yuan?,Chinese language,2.11111,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
Qual evento significativo ocorreu em 1279 na dinastia Yuan?,1279-03-19,2.3,4.61384,1.0,0.167,0.0,1.0,1.0,0.000
