Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual o nome informalmente dado ao Parlamento Escocês?,Holyrood,1.77778,4.37319,1.0,0.600,0.0,1.0,1.0,0.000
Quantos deputados (MSPs) compõem o Parlamento Escocês?,129,2.7,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Em que ano ocorreu a última eleição geral para o Parlamento Escocês?,2021-05-06,1.92308,5.20226,1.0,0.571,0.0,1.0,1.0,0.000
Qual o sistema de representação utilizado no Parlamento Escocês?,Sistema de representação proporcional mista,2.3,4.61384,1.0,0.400,1.0,3.43523,1.0,0.250
Qual o nome do primeiro parlamento escocês?,Os Estados da Escócia,1.75,4.10211,1.0,0.500,1.0,3.01273,1.0,0.000
Qual o nome da imagem representativa do Parlamento Escocês?,Her Majesty Queen Elizabeth II at the opening of the Scottish Parliament.jpg,3.2,4.61384,1.0,0.400,6.5,5.32781,0.91667,0.000
Qual o nome da sala de debates do Parlamento Escocês?,Scottish Parliament Debating Chamber 2.jpg,2.09091,4.82961,1.0,0.400,3.0,3.43523,1.0,0.000
Qual o nome da organização responsável por supervisionar a ética pública no Parlamento Escocês?,Commissioner for Ethical Standards in Public Life in Scotland,2.73333,5.51466,1.0,0.375,2.55556,4.75438,0.88889,0.000
Qual o nome do edifício onde está localizado o Parlamento Escocês?,Scottish Parliament Building,2.0,5.1549,0.90909,0.333,1.0,2.50045,1.0,0.000
Qual o nome da comissão que investigou as alegações de assédio contra ex-ministros escoceses?,Committee on The Scottish Government's Handling of Harassment Complaints against Former Ministers,2.13333,5.51466,1.0,0.286,3.14286,5.36491,1.0,0.077
Qual o nome da pessoa que ocupa o cargo de Presiding Officer do Parlamento Escocês?,Presiding Officer of the Scottish Parliament,2.25,5.76639,0.93333,0.444,2.5,3.79304,1.0,0.000
