Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o principal objetivo de uma escola?,promover a educação,1.66667,4.37319,1.0,1.000,0.66667,2.50045,1.0,1.000
Quem são os principais responsáveis pelo ensino nas salas de aula?,professores,2.16667,5.02467,1.0,0.500,0.0,1.0,1.0,0.000
O que é fundamental para um bom aprendizado na escola?,atenção dos alunos,2.45455,4.82961,1.0,0.800,1.0,2.50045,1.0,1.000
Qual atividade é comumente realizada pelos professores após as aulas?,correção de trabalhos,1.81818,4.82961,1.0,0.167,0.66667,2.50045,1.0,0.000
Quem geralmente coordena e supervisiona o trabalho pedagógico das escolas?,diretores,2.36364,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
O que são reuniões de pais na escola?,encontros entre professores e responsáveis,2.22222,4.37319,1.0,0.500,1.2,3.43523,1.0,0.000
Qual material é essencial para os estudantes em suas aulas diárias?,livros didáticos,1.83333,5.02467,1.0,0.333,0.5,1.85566,1.0,0.000
O que as escolas oferecem além do ensino tradicional?,atividades extracurriculares,1.8,4.61384,1.0,0.500,0.5,1.85566,1.0,0.000
Quem são as pessoas responsáveis pela limpeza e manutenção das instalações da escola?,zeladores,2.5,5.36491,1.0,0.429,0.0,1.0,1.0,0.000
Qual é uma função importante dos conselhos escolares?,definir políticas educacionais,1.77778,4.37319,1.0,0.400,0.66667,2.50045,1.0,0.333
