Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O que é o Coeficiente de Gini?,um método para medir a desigualdade econômica,1.625,4.25402,0.85714,0.250,1.14286,4.10211,1.0,0.500
Quem são os autores do livro Capital in the Twenty-First Century?,Thomas Piketty,3.5,5.02467,1.0,0.250,0.5,1.85566,1.0,0.000
Qual é um exemplo de movimento causado por desigualdade econômica no Paquistão em 1968?,Movimento de 1968 no Paquistã,2.6,5.51466,1.0,0.250,1.0,3.43523,1.0,0.000
Quem é Branko Milanović e qual seu campo principal?,Economista cujo campo principal é a desigualdade econômica,2.1,4.61384,1.0,0.400,1.125,4.37319,1.0,0.333
O que é o Índice de Desenvolvimento Humano Ajustado pela Desigualdade?,um índice composto estatístico que leva em conta a desigualdade,2.33333,5.1549,0.90909,0.143,1.3,4.82961,1.0,0.500
Qual é um dos principais interesses do economista Mick Moore?,desigualdade econômica,2.27273,4.82961,1.0,0.000,0.5,1.85566,1.0,0.000
Qual é o foco da Nathan Cummings Foundation?,desigualdade econômica,2.33333,4.37319,1.0,0.200,0.5,1.85566,1.0,0.000
Quem são os organizadores do Occupy Atlanta?,manifestantes que acreditam na causa da desigualdade econômica,2.0,4.10211,1.0,0.250,1.625,4.37319,1.0,0.200
O que sugere pesquisas sobre a relação entre desigualdade econômica e crescimento econômico?,que uma maior desigualdade dificulta a duração do crescimento,1.85714,5.36491,1.0,0.429,1.33333,4.61384,1.0,0.600
Qual é um dos conceitos importantes de igualdade mencionados no contexto da desigualdade econômica?,equidade,2.86667,5.51466,1.0,0.125,0.0,1.0,1.0,0.000
