Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a unidade SI da força?,newton (N),2.0,4.10211,1.0,0.500,1.5,1.85566,1.0,0.000
O que é força definida como?,influência que muda o movimento,2.0,3.79304,1.0,0.333,0.8,3.43523,1.0,1.000
Qual tipo de quantidade é força?,quantidade vetorial,2.0,3.79304,1.0,0.750,0.5,1.85566,1.0,0.500
O que diz a segunda lei de Newton?,força líquida igual à taxa de mudança do momento,1.66667,4.37319,1.0,0.250,1.22222,4.61384,1.0,0.833
O que é impulso?,aumenta a velocidade,1.4,3.01273,1.0,0.500,0.66667,2.50045,1.0,0.500
O que é arrasto?,diminui a velocidade,1.4,3.01273,1.0,0.000,0.66667,2.50045,1.0,0.500
O que é torque?,altera a velocidade de rotação,1.4,3.01273,1.0,0.000,0.8,3.43523,1.0,0.667
O que é estresse?,forças mecânicas internas,1.4,3.01273,1.0,0.000,1.0,2.50045,1.0,0.000
O que causa deformação?,estresse mecânico interno,1.4,3.01273,1.0,0.500,1.0,2.50045,1.0,1.000
O que é pressão?,distribuição de forças sobre área,1.4,3.01273,1.0,0.500,0.8,3.43523,1.0,0.667
