Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Onde BSB estava sediada?,Londres,1.4,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Quando BSB começou a transmitir?,25 de março de 1990,1.5,3.43523,1.0,0.333,0.8,3.59796,0.8,0.333
Quando BSB foi absorvida pela Sky?,2 de novembro de 1990,1.57143,3.79304,1.0,0.000,0.8,3.59796,0.8,0.333
O que aconteceu com a BSB após a fusão?,Formou British Sky Broadcasting,1.7,4.75438,0.88889,0.000,1.5,3.01273,1.0,0.000
Qual foi o nome da empresa que BSB foi absorvida?,Sky Television plc,2.27273,4.96484,0.9,0.333,1.0,2.50045,1.0,0.000
Quais canais BSB possuía?,Galaxy,1.6,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
Quais produções BSB estava envolvida?,Hardware,2.0,3.43523,1.0,0.000,0.0,1.0,1.0,0.000
Qual foi a data de fundação da BSB?,1986,1.77778,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Quais são os assuntos relacionados à BSB?,TV,2.0,4.10211,1.0,0.250,0.0,1.0,1.0,1.000
Qual é o nome da empresa resultante da fusão?,British Sky Broadcasting,2.7,4.75438,0.88889,0.400,1.0,2.50045,1.0,0.000
