Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Okay, I need to generate 10 question-answer pairs in Portuguese based on the given context about Fresno. Let me start by reading through the context and the facts provided.,0.0,1.0,1.0,0.000,4.32353,7.09342,0.89286,0.000
The distance from Fresno to Los Angeles is 350 km, as per the context. So a question about that distance would be 350 km.,2.5,4.82961,1.0,0.000,2.61818,5.51466,1.0,0.333
The name Fresno comes from the Spanish word for ash trees, so the answer would be freixo (ash tree in Portuguese).,3.45455,5.1549,0.90909,0.000,3.61538,4.82961,1.0,0.000
The context mentions that Fresno is the third-largest majority-Hispanic city in the US, with 50.5% Hispanic in 2020. So a question about the majority-Hispanic city could be terceira maior cidade.,6.0,5.62279,0.84615,0.000,2.62088,6.01374,1.0,0.353
The facts list Fresno, California possui código postal 93650... so a question about the postal code could be 93650.,1.5,3.01273,1.0,0.000,3.64706,5.89204,0.86667,0.071
The context says the city is in the San Joaquin Valley, so a question about the valley would be Valle do San Joaquin.,5.0,5.30531,0.81818,0.000,4.53846,5.20226,1.0,0.091
The facts mention Fresno, California possui imagem representativa FresnoRainforest.jpg so a question about the image could be FresnoRainforest.jpg.,1.5,3.01273,1.0,0.000,4.78947,5.63172,0.92857,0.357
Check if answers are in the context or facts. For example, the postal code is in the facts. The image is in the facts. The majority-Hispanic is in the context. The incorporation year is in the context.,2.15,5.02467,1.0,0.000,2.90625,8.96638,0.42308,0.000
Now, structure each question in Portuguese with the correct answer. Make sure answers are concise and match the facts.,0.0,1.0,1.0,0.000,3.5,6.11685,0.94444,0.000
Fresno, California foi fundado em 1872.  ,0.0,1.0,1.0,0.000,1.5,3.43523,1.0,0.000
Fresno, California é a cidade mais populosa interior da Califórnia.  ,0.0,1.0,1.0,0.000,2.3,4.61384,1.0,0.429
Fresno, California é a terceira maior cidade majoritariamente hispânica dos EUA.  ,0.0,1.0,1.0,0.000,2.27273,4.82961,1.0,0.250
Fresno, California está localizada no Vale do San Joaquin.  ,0.0,1.0,1.0,0.000,2.77778,4.37319,1.0,0.143
Fresno, California foi incorporada em 1885.  ,0.0,1.0,1.0,0.000,1.5,3.43523,1.0,0.000
