Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quando começou a crise petrolífera de 1973?,outubro de 1973,1.625,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.500
Qual foi o preço do petróleo em março de 1974?,US$ 12,2.18182,4.82961,1.0,0.600,0.66667,2.50045,1.0,0.000
Quem proclamou o embargo petrolífero?,membros da Organização dos Países Árabes Exportadores de Petróleo (OPAEP),1.5,3.43523,1.0,0.000,2.91667,4.82961,1.0,0.111
Por que as nações alvo foram escolhidas para o embargo?,por serem vistas como apoiadoras de Israel durante a Guerra do Yom Kippur,2.0,4.82961,1.0,0.200,1.15385,5.36491,1.0,0.600
Quando terminou o embargo petrolífero?,março de 1974,1.5,3.43523,1.0,0.000,0.66667,2.50045,1.0,0.500
Qual foi outro termo usado para descrever a crise do petróleo de 1973?,primeiro choque do petróleo,2.28571,5.36491,1.0,0.714,1.0,3.01273,1.0,1.000
O que causou a crise econômica global em 1973?,embargo petrolífero imposto pelos países árabes,2.2,4.61384,1.0,0.200,1.0,3.79304,1.0,0.400
Qual foi o preço do petróleo por barril antes da crise de 1973?,US$ 3,2.78571,5.36491,1.0,0.500,1.0,2.50045,1.0,0.000
Quais foram as nações inicialmente alvo do embargo?,Canadá,2.44444,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Como a crise do petróleo de 1973 é classificada em termos de evento histórico?,Crisis113933560,2.2,5.63172,0.92857,0.571,0.0,1.0,1.0,0.000
