Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o estado em que está localizada a cidade de Jacksonville?,Flórida,1.76923,5.20226,1.0,0.333,0.0,1.0,1.0,0.000
Jacksonville está localizada em qual rio?,Rio St. Johns,2.28571,3.79304,1.0,0.250,0.5,2.50045,1.0,0.000
A cidade de Jacksonville foi batizada em homenagem a qual presidente dos Estados Unidos?,Andrew Jackson,2.2,5.63172,0.92857,0.375,0.5,1.85566,1.0,0.000
Qual é o apelido mais conhecido de Jacksonville?,Cidade do Rio,1.88889,4.37319,1.0,0.600,1.0,2.50045,1.0,0.333
Jacksonville é a maior cidade de qual estado em termos de área territorial?,Flórida,2.21429,5.48607,0.92308,0.714,0.0,1.0,1.0,0.000
Qual é o nome do estádio da NFL localizado em Jacksonville?,TIAA Bank Field,3.25,5.02467,1.0,0.333,1.0,2.50045,1.0,0.000
Jacksonville é a sede do condado de qual região?,Duval,2.5,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
Qual é o nome do centro comercial mais famoso de Jacksonville?,Jacksonville Landing,2.25,5.02467,1.0,0.857,0.5,1.85566,1.0,0.000
Qual o nome do museu histórico e científico localizado na cidade?,Museum of Science and History (MOSH),2.16667,5.02467,1.0,0.833,3.5,3.79304,1.0,0.000
Jacksonville detém qual posição entre as cidades dos EUA em extensão territorial?,Cidade mais extensa da América do Norte,2.46154,5.20226,1.0,0.429,1.57143,4.10211,1.0,0.333
