Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que são ctenóforos?,animais marinhos invertebrados,1.4,3.01273,1.0,0.500,1.0,2.50045,1.0,0.333
Qual a origem do nome Ctenophora?,do grego kteis (pente) e pherō (carregar),2.0,3.79304,1.0,0.667,2.54545,4.10211,1.0,0.600
Qual a principal característica distintiva dos ctenóforos?,grupos de cílios usados para natação,2.0,4.10211,1.0,0.500,1.16667,3.79304,1.0,0.250
Qual o tamanho típico dos ctenóforos adultos?,variam de poucos milímetros a 1,1.875,4.10211,1.0,0.500,1.16667,3.79304,1.0,0.000
Quais são os tipos de corpos que os ctenóforos podem ter?,egg-shaped cydippids,2.25,5.1549,0.90909,0.333,0.5,1.85566,1.0,0.000
Qual o papel dos tentáculos em algumas espécies de ctenóforos?,capturar presas,2.18182,4.82961,1.0,0.250,0.5,1.85566,1.0,0.500
Qual a função dos colloblastas nos ctenóforos?,capturar presas,2.375,4.10211,1.0,0.333,0.5,1.85566,1.0,0.500
Onde podem ser encontrados os ctenóforos?,em águas marinhas em todo o mundo,1.57143,3.79304,1.0,0.400,1.0,4.25402,0.85714,0.333
Quando surgiram os fósseis de ctenóforos?,há cerca de 525 milhões de anos,1.57143,3.79304,1.0,0.000,1.85714,4.25402,0.85714,0.000
Qual a principal questão taxonômica em debate sobre os ctenóforos?,a posição na árvore da vida animal,2.09091,4.82961,1.0,0.600,2.28571,4.10211,1.0,1.000
