Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é a base principal para comunicação de dados em redes computacionais?,packet switching,1.85714,5.36491,1.0,0.429,0.5,1.85566,1.0,0.000
Quem desenvolveu inicialmente o conceito de packet switching nos EUA?,Paul Baran,2.09091,4.82961,1.0,0.167,0.5,1.85566,1.0,0.000
Qual era o objetivo original do conceito de Paul Baran?,roteamento eficiente e tolerante a falhas,1.81818,4.82961,1.0,1.000,0.83333,3.79304,1.0,0.250
Em qual década foi inspirado o desenvolvimento de redes baseadas em pacotes por Donald Davies?,1960s,1.9375,5.76639,0.93333,0.222,0.0,1.0,1.0,0.000
Donald Davies é conhecido por coletar qual termo moderno?,packet switching,1.8,4.61384,1.0,0.429,0.5,1.85566,1.0,0.000
Qual sistema telefônico contradizia os princípios da packet switching?,Bell System,2.3,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Que rede incorporou o conceito de packet switching nos EUA?,ARPANET,2.09091,4.82961,1.0,0.333,0.0,1.0,1.0,0.000
Onde foi desenvolvido o trabalho independente de Donald Davies sobre packet switching?,National Physical Laboratory,1.92308,5.20226,1.0,0.400,1.0,2.50045,1.0,0.000
Quando exatamente foi criado o termo packet switching por Davies?,1965,2.27273,4.82961,1.0,0.571,0.0,1.0,1.0,0.000
Qual propósito originalmente inspirou a pesquisa de Paul Baran?,resiliência em telecomunicações,1.9,4.61384,1.0,0.333,0.66667,2.50045,1.0,0.000
