Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual a origem do termo huguenote?,possivelmente de Bezanson Hugues,2.0,3.79304,1.0,0.667,0.75,3.01273,1.0,0.000
Em que período ocorreram as Guerras Religiosas na França?,de 1562 a 1598,2.1,4.61384,1.0,0.200,0.75,3.01273,1.0,0.000
Qual foi o impacto do Édito de Nantes?,concedeu autonomia religiosa aos huguenotes,1.77778,4.37319,1.0,0.200,2.0,3.43523,1.0,0.000
Qual foi uma consequência das políticas de Luís XIV em relação aos protestantes?,forçada conversão ou fuga do país,1.92857,5.36491,1.0,0.000,1.16667,3.79304,1.0,0.500
Onde estavam concentrados os huguenotes na França?,nas partes sul e oeste do Reino,1.75,4.10211,1.0,0.000,1.42857,4.10211,1.0,0.500
Quem liderou os huguenotes durante as Guerras Religiosas?,Jeanne d'Albret,2.33333,4.37319,1.0,0.000,1.5,2.50045,1.0,0.333
Qual foi o impacto das dragonnades na comunidade protestante francesa?,causou uma grande redução da população protestante,2.63636,4.82961,1.0,0.333,1.28571,4.10211,1.0,0.600
Que tipo de fé religiosa os huguenotes seguiam?,Reformed,2.0,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
O que aconteceu com os direitos políticos e militares dos huguenotes na década de 1620?,foram abolidos,3.0625,5.65316,1.0,0.143,0.5,1.85566,1.0,0.000
Qual foi uma consequência da saída de huguenotes da França?,um brain drain econômico,1.81818,4.96484,0.9,0.200,1.0,3.01273,1.0,0.333
