Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Qual é a área total do sul da Califórnia em quilômetros quadrados?,146347.2781745357 km²,1.40385,5.36491,1.0,0.500,1.0,1.85566,1.0,0.000
2. Quantos condados são mencionados como subdivisões no dataset?,seis condados,1.13889,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
3. Qual é a área total do sul da Califórnia em milhas quadradas?,56505 milhas quadradas,1.40385,5.36491,1.0,0.500,1.0,2.50045,1.0,0.000
4. Quais são os principais condados listados como subdivisões no dataset?,Kern,1.34091,5.02467,1.0,0.143,0.0,1.0,1.0,0.000
5. Qual é o nome da imagem utilizada para representar os condados do sul da Califórnia no mapa?,Southern California counties in red noshade.png,1.80556,6.11685,0.94444,0.500,3.5,3.79304,1.0,0.000
6. Qual é a localização geográfica do sul da Califórnia?,34.0 -117.0,1.6,4.82961,1.0,0.167,0.5,1.85566,1.0,0.000
7. Quantos templates são usados na página do sul da Califórnia no Wikipedia?,quatorze templates,2.25,5.36491,1.0,0.333,0.5,1.85566,1.0,0.000
8. Qual é o nome da categoria a que o sul da Califórnia pertence?,Regiões da Califórnia,1.60714,5.76263,0.85714,0.429,1.0,2.50045,1.0,0.000
9. Quais são as cidades mencionadas como imagens representativas do sul da Califórnia?,Downtown Los Angeles,1.59615,5.36491,1.0,0.250,0.66667,2.50045,1.0,0.000
10. Qual é o tipo de assentamento do sul da Califórnia conforme o dataset?,maior cidade,1.5,5.63172,0.92857,0.778,0.5,1.85566,1.0,1.000
