Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é a principal característica que define o islamismo político?,Seus defensores buscam concretizar sua interpretação ideológica do Islã no contexto do Estado ou da sociedade.,1.72727,4.82961,1.0,0.667,3.17647,5.89142,0.9375,0.222
Quais elementos são frequentemente enfatizados pelos islâmicos?,Implementação da xaria,1.875,4.10211,1.0,0.200,1.0,2.50045,1.0,0.000
Qual é a relação entre Al Wefaq e o islamismo político?,Al Wefaq possui ideologia Islamism.,1.83333,5.02467,1.0,0.500,1.66667,3.43523,1.0,0.000
Quais grupos ou movimentos estão frequentemente associados ao islamismo político?,Instituições islâmicas ou movimentos de mobilização social,2.09091,4.82961,1.0,0.286,1.0,4.10211,1.0,0.200
Quais são algumas das influências que os islâmicos buscam rejeitar?,Influências não-muçulmanas,2.18182,4.82961,1.0,0.400,0.5,1.85566,1.0,0.000
Qual é a ideologia do 19th Division (Syrian rebel group)?,Islamism,3.92308,4.82961,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a ideologia do Hefazat-e-Islam Bangladesh?,Islamism,2.0,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a ideologia do Islamic Party (Egypt)?,Islamism,3.09091,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a ideologia do Turkistan Islamic Party?,Islamism,2.33333,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Qual é a ideologia do United Somali Congress?,Islamism,2.33333,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
