Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Ctenophora é um gênero de sponges,Ctenophora is a genus of sponges,0.83333,3.79304,1.0,0.250,1.0,3.79304,1.0,0.000
Ctenophora e Ctenophaga são gêneros diferentes,Ctenophora and Ctenophaga are different genera,1.16667,3.79304,1.0,0.200,2.5,3.79304,1.0,0.000
Ctenophora vive principalmente na superfície marine,Ctenophora primarily lives on the marine surface,1.33333,3.79304,1.0,0.400,3.0,4.10211,1.0,0.000
Ctenophora feeding em Solo,Ctenophora feeds in solo,1.0,3.01273,1.0,0.250,1.5,3.01273,1.0,0.250
Ctenophora pode ter entre 100 a 200 anos de vida,Ctenophora can have a lifespan between 100 to 200 years,0.9,4.82961,1.0,0.400,1.7,4.82961,1.0,0.500
Ctenophora é encontrado nos océanos tropical e subtropical,Ctenophora is found in tropical and subtropical oceans,1.25,4.37319,1.0,0.167,3.5,4.37319,1.0,0.125
Ctenophora é maior que Ctenophaga em termos de tamanho,Ctenophora is larger than Ctenophaga in terms of size,0.88889,4.61384,1.0,0.400,4.0,4.61384,1.0,0.000
O Ctenophora é uma sponge que vive em groupes grandes,The Ctenophora is a sponge that lives in large groups,1.0,4.82961,1.0,0.000,2.0,4.82961,1.0,0.400
Ctenophora é uma espécie de sponges com vários tipos de feeding,Ctenophora is a species of sponges with various types of feeding,0.90909,5.1549,0.90909,0.167,2.81818,5.1549,0.90909,0.000
Ctenophora frequentemente associada à biomes costal,Ctenophora is frequently associated with coastal biomes,1.5,3.79304,1.0,0.000,3.0,4.10211,1.0,0.000
