Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual evento iniciou a crise do petróleo de 1973?,O embargo da OAPEC em resposta ao apoio a Israel.,1.9,4.61384,1.0,0.600,2.45455,4.82961,1.0,0.400
Quem liderou o embargo da OAPEC?,A liderança foi de Saudi Arabia.,2.0,3.79304,1.0,0.000,1.71429,3.79304,1.0,0.000
Quais países foram inicialmente alvo do embargo?,Canadá,2.0,4.10211,1.0,0.200,0.0,1.0,1.0,0.000
Qual o aumento percentual no preço do petróleo?,O preço subiu quase 300%.,2.11111,4.37319,1.0,0.750,1.71429,3.79304,1.0,0.500
Qual o preço inicial do barril de petróleo?,US$3 por barril ($19/m3).,1.77778,4.37319,1.0,0.750,2.4,3.79304,1.0,0.000
Qual o preço do barril de petróleo ao final do embargo?,Quase US$12 por barril ($75/m3).,2.33333,5.1549,0.90909,0.800,2.54545,3.79304,1.0,0.000
Como a crise do petróleo de 1973 é historicamente conhecida?,Primeiro choque do petróleo.,2.18182,4.82961,1.0,0.333,1.6,3.01273,1.0,0.667
Qual foi a principal causa do embargo?,O conflito da Guerra do Yom Kippur.,1.75,4.10211,1.0,0.500,2.875,4.10211,1.0,0.400
Quais foram os impactos da crise do petróleo?,Efeitos na política e economia global.,2.33333,4.37319,1.0,0.500,1.71429,3.79304,1.0,0.500
Qual a crise do petróleo que sucedeu a de 1973?,Crise do petróleo de 1979 (segundo choque).,2.0,4.96484,0.9,0.500,1.8,4.10211,1.0,0.500
