Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é um número primo?,Um número maior que 1,1.57143,3.79304,1.0,1.000,0.8,3.43523,1.0,0.667
Como um número não primo é chamado?,Número composto,1.625,4.10211,1.0,1.200,0.5,1.85566,1.0,0.500
Qual teorema fundamental relaciona números primos?,Teorema da aritmética,1.85714,3.79304,1.0,0.200,1.0,2.50045,1.0,0.500
O que é primality?,A propriedade de ser um número primo,1.4,3.01273,1.0,0.000,1.0,4.10211,1.0,1.500
Qual teste é simples para verificar se um número é primo?,Divisão por tentativa,2.25,5.1549,0.90909,0.857,0.66667,2.50045,1.0,0.500
Qual o maior número primo conhecido em dezembro de 2018?,Mersenne prime com 24.862.048 dígitos,1.81818,4.82961,1.0,1.000,0.8,3.43523,1.0,0.000
Quem demonstrou a infinitude de números primos?,Euclides,1.625,4.10211,1.0,0.000,0.0,1.0,1.0,0.000
O que diz o teorema dos números primos?,Probabilidade de ser primo é inversamente proporcional ao logaritmo,2.0,4.51932,0.875,0.000,1.22222,4.61384,1.0,0.571
Qual conjectura afirma que todo número par é a soma de dois primos?,Conjectura de Goldbach,2.0,5.36491,1.0,0.429,0.66667,2.50045,1.0,0.000
O que são usados números primos em tecnologia da informação?,Criptografia de chave pública,2.72727,4.82961,1.0,0.500,0.75,3.01273,1.0,0.333
