Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Quando a BSB começou a transmitir?,25 de março de 1990,1.71429,3.95066,0.83333,0.333,0.8,3.59796,0.8,0.333
Onde estava localizada a sede da BSB?,Londres,1.75,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
Qual empresa foi fundida com a Sky Television plc para formar o BSkyB?,BSB,2.57143,5.36491,1.0,0.250,0.0,1.0,1.0,0.000
Em que ano a BSB foi fundada?,1986,2.0,4.10211,1.0,0.250,0.0,1.0,1.0,0.000
Que evento marcou o fim da BSB em novembro de 1990?,Fusão com a Sky Television,2.25,5.02467,1.0,0.500,0.8,3.43523,1.0,0.000
Qual categoria define a data de estabelecimento da BSB?,Empresas britânicas estabelecidas em 1986,1.9,4.61384,1.0,0.600,1.0,3.43523,1.0,0.000
O que sucedeu à BSB?,Sky UK,1.83333,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
BSB é considerada do tipo no contexto dado?,Companhia,2.77778,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Qual modelo de página wiki foi usado para a BSB?,Template:Infobox company,2.09091,4.82961,1.0,0.500,1.0,2.50045,1.0,0.000
Em qual país a BSB estava localizada?,Reino Unido,2.0,4.10211,1.0,0.250,0.5,1.85566,1.0,0.000
