Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Qual é a cidade mais populosa da Flórida?,Jacksonville,1.19444,4.61384,1.0,0.333,0.0,1.0,1.0,0.000
2. Em que condado está localizada a cidade de Jacksonville?,Duval,1.2,4.82961,1.0,0.167,0.0,1.0,1.0,0.000
3. Em que ano Jacksonville se tornou parte do Condado de Duval?,1968.,1.29167,5.20226,1.0,0.375,0.5,1.0,1.0,0.000
4. Qual rio corre ao lado de Jacksonville?,St. Johns,1.125,4.37319,1.0,0.250,0.25,1.85566,1.0,0.000
5. Quais povos habitavam a região antes da chegada dos europeus?,o Timucua,1.20455,5.02467,1.0,0.333,0.5,1.85566,1.0,0.000
6. Qual era o nome da colônia francesa fundada em 1564?,Fort Caroline,1.20455,5.02467,1.0,0.429,0.5,1.85566,1.0,0.000
7. Qual é o ranking de Jacksonville nos Estados Unidos?,12ª,1.15,4.82961,1.0,0.000,0.0,1.0,1.0,0.000
8. Qual é o nome da cidade conhecida como Rainha do Sul?,Jacksonville,1.375,5.20226,1.0,0.375,0.0,1.0,1.0,0.000
9. Qual figura histórica recebeu o nome de Jacksonville?,Andrew Jackson,1.19444,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
10. Qual era a população de Jacksonville em 2010?,1.345.596,1.08333,4.61384,1.0,0.400,0.0,1.0,1.0,0.000
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é a cidade mais populosa da Flórida?,Jacksonville  ,1.88889,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
Em que condado está localizada a cidade de Jacksonville?,Duval  ,1.9,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
Em que ano Jacksonville se tornou parte do Condado de Duval?,1968.  ,2.08333,5.02467,1.0,0.429,0.5,1.0,1.0,0.000
Qual rio corre ao lado de Jacksonville?,St. Johns  ,1.75,4.10211,1.0,0.333,0.25,1.85566,1.0,0.000
Quais povos habitavam a região antes da chegada dos europeus?,o Timucua,1.90909,4.82961,1.0,0.400,0.5,1.85566,1.0,0.000
Qual era o nome da colônia francesa fundada em 1564?,Fort Caroline,1.90909,4.82961,1.0,0.500,0.5,1.85566,1.0,0.000
Qual é o ranking de Jacksonville nos Estados Unidos?,12ª  ,1.8,4.61384,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o nome da cidade conhecida como Rainha do Sul?,Jacksonville,2.25,5.02467,1.0,0.429,0.0,1.0,1.0,0.000
Qual figura histórica recebeu o nome de Jacksonville?,Andrew Jackson,1.88889,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
Qual era a população de Jacksonville em 2010?,1.345.596,1.66667,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
