pergunta;resposta
Quais são os nomes comuns dos ctenóforos?;carambolas-do-mar ou águas-vivas-de-pente
Qual é a distribuição natural dos ctenóforos?;cosmopolita, nas águas oceânicas e estuarinas
Os ctenóforos são animais planctônicos ou bentônicos?;maioritariamente planctônicos, mas alguns são bentônicos
Quais são as características distintivas dos ctenóforos?;presença de pentes formados por grupos de cílios utilizados para nadar
Qual é o tamanho adulto dos ctenóforos?;de cerca de 1 mm a 1,5 m de comprimento
Os ctenóforos são relacionados aos cnidários?;não, representam mais uma convergência evolutiva do que um relacionamento filogenético próximo com os Cnidaria
Quando surgiram os ctenóforos no registo fóssil?;desde o período Cambriano
O grupo Ctenophora inclui quais exemplos?;Callianira hexagona, Coelenterata e Vallicula
Os ctenóforos são bioluminescentes?;sim, apresentam bioluminescência
Quais são as classificações do filo Ctenophora?;Classes: Tentaculata, Nuda e Scleroctenophora
