pergunta;resposta
Quem foram os principais combatentes na Guerra Franco-Indiana?;colônias da América Britânica e da Nova França  
Qual foi o número máximo de tropas francesas em 1758?;42.000  
Onde a Guerra Franco-Indiana foi principalmente travada?;ao longo das fronteiras entre a Nova França e as colônias britânicas  
Qual fator foi crucial para a vitória britânica?;controle das linhas de comunicação e poder naval  
Quem foi um comandante britânico notável?;George Washington  
Quais grupos nativos aliaram-se aos franceses?;Algonquins, Wabanaki Confederacy, Mingo e WyandotofFort Detroit  
Qual foi o resultado da Batalha de Carillon?;defesa francesa bem-sucedida  
Qual foi a importância da Marinha na guerra?;controle das linhas de suprimento e transporte  
Quem foi um comandante francês destacado?;Louis-Joseph de Montcalm  
Qual foi a causa inicial do conflito?;disputa pelo controle da confluência dos rios Allegheny e Monongahela
