pergunta;resposta
9. O que o IPCC não faz? Produz pesquisa original; apenas resume estudos existentes.
Em qual ano o IPCC foi criado?;1988
Quais foram as organizações fundadoras do IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e Organização Meteorológica Mundial (OMM)
Qual é a sede principal do IPCC?;Genebra, Suíça
Em que ano o IPCC recebeu o Prêmio Nobel da Paz?;2007
Quantos relatórios principales foram produzidos pelo IPCC até 2014?;Cinco
Quais são as principais funções do IPCC?;Sintetizar e divulgar o conhecimento sobre mudanças climáticas, identificar causas, efeitos e riscos, sugerir soluções
Nome de um cientista notável ligado ao IPCC:;Bert Bolin
Qual é a abreviação do IPCC?;IPCC
O que o IPCC não faz?;Produz pesquisa original
Quais são os principais problemas abordados pelo IPCC?;Aquecimento global, causas, efeitos, riscos
