pergunta;resposta
Qual é a causa da Peste Negra?;a bactéria Yersinia pestis.
Como a Peste Negra se espalhou pela Europa?;por navios mercantes genoveses transportando ratos infestados de pulgas.
Qual foi o período de pico da Peste Negra na Europa?;entre 1347 e 1351.
Qual foi o impacto da Peste Negra na população mundial?;redução da população mundial de 475 milhões para 350 a 375 milhões.
Quanto tempo levou para a população europeia se recuperar da Peste Negra?;200 anos.
Qual foi uma das formas da doença causada pela Yersinia pestis?;forma pneumônica.
Qual região é considerada a origem da Peste Negra?;planícies da Ásia Central ou China.
Qual foi o efeito da Peste Negra sobre a economia e a sociedade europeia?;convulsões sociais e econômicas.
Até que século a Peste Negra recorreu?;até o século XX.
Qual cidade teve sua população totalmente recuperada apenas no século XIX?;Florença.
