pergunta;resposta
Yes, the example shows each line as "pergunta;resposta" with each question and answer separated by a semicolon. The CSV should have 10 lines, each with one question and one answer.
pergunta;resposta
Quem é considerado o fundador do conceito de desobediência civil?;Henry David Thoreau
Qual foi o movimento de independência da Índia que utilizou a desobediência civil?;revolução indiana
Qual movimento nos Estados Unidos utilizou a desobediência civil para combater a segregação racial?;luta pelos direitos civis de Martin Luther King
Qual evento de 2021 envolveu a desobediência civil em Moçambique?;protestos contra o End SARS
O que é a desobediência civil?;protesto político pacífico contra leis consideradas injustas
Quem é conhecido por ter utilizado a desobediência civil na luta contra o apartheid nos EUA?;Martin Luther King
Qual movimento de 2019 no Montenegro utilizou a desobediência civil?;protestos anti-corrupção
Qual foi o principal objetivo da desobediência civil segundo o contexto?;opor-se a leis injustas ou governos opressores
Quem é associado ao movimento de desobediência civil na Índia?;Mahatma Gandhi
Qual evento de 2020 envolveu a desobediência civil na Polônia?;protestos LGBTQ+
