pergunta;resposta
Qual das células do sistema imunológico é responsável pela apresentação de antígenos?;Células dendríticas;
Quais são os dois tipos principais de linfócitos T?;T helper e Células T citotóxicas;
O que é uma resposta imune adquirida?;Resposta do sistema imunológico contra agentes patogênicos após exposição anterior a eles;
Qual molécula desempenha um papel crucial na ativação de células T helper?;Anticorpo da classe MHC II;
Como o corpo produz anticorpos específicos para combater infecções bacterianas e virais?;Através da função dos linfócitos B que se transformam em plasmócitos produtor de anticorpos;
Qual é a principal diferença entre imunidade adquirida ativa e passiva?;Imunidade adquirida ativa ocorre quando o corpo produz seus próprios anticorpos após a exposição ao agente infeccioso, enquanto na imunidade passiva os anticorpos são obtidos de outra fonte;
Quais células participam da resposta inflamatória no sistema imune?;Macrófagos e neutrófilos;
Qual é o papel dos anticorpos no combate à infecção viral?;Neutralizar vírus, marcando-os para consumo por macrófagos através de ligação ao MHC II;
Como os linfócitos T citotóxicos combatem células infectadas pelo vírus?;Produzindo moléculas citotóxicas que matam as células infectadas;
Qual tipo de imunidade é fornecida por vacinas?;Imunidade adquirida ativa;
