Pergunta: Qual foi a capital da dinastia Yuan?; Resposta: A capital da dinastia Yuan era Dadu, que hoje é conhecida como Beijing.

Pergunta: Quando a dinastia Yuan chegou ao fim?; Resposta: A dinastia Yuan acabou em 1368, quando o último imperador do período, Toghon Temür, rendeu-se às forças rebeldes lideradas por Zhu Yuanzhang.

Pergunta: Qual foi a moeda oficial da dinastia Yuan?; Resposta: A moeda oficial da dinastia Yuan era o "cash" ou "Yuan Bao", que consistia em discos de cobre com um buraco no centro.

Pergunta: Quais foram as principais contribuições culturais da dinastia Yuan?; Resposta: A dinastia Yuan foi um período de grande florescimento cultural, com destaque para o desenvolvimento do teatro, literatura e artes visuais. Marcos importantes incluem a criação da primeira ópera profissional chinesa, "Zaju", e o surgimento da pintura de figuras monocromáticas (shǔi mù tú).

Pergunta: Quais foram as principais conquistas militares da dinastia Yuan?; Resposta: A dinastia Yuan expandiu seu império para a Europa Ocidental, com a invasão do sudeste europeu por Batu Khan. Além disso, a conquista da Mongólia e da Coreia foi realizada sob o comando de Möngke Khan e Kublai Khan, respectivamente.

Pergunta: Qual foi o papel das mulheres na sociedade Yuan?; Resposta: As mulheres na dinastia Yuan tinham papéis limitados, mas algumas se destacaram como poetisas, artistas e conselheiras. A Imperatriz Baren Tsudi, por exemplo, era uma poeta talentosa que escreveu sobre temas sociais e políticos.

Pergunta: Quais foram as principais fontes de receita da dinastia Yuan?; Resposta: As principais fontes de receita da dinastia Yuan eram o imposto agrícola, o comércio em longas distâncias e a cobrança de taxas sobre certos produtos. Além disso, a exploração de recursos naturais, como sal e seda, também contribuiu para o orçamento imperial.

Pergunta: Quais foram as principais diferenças entre a dinastia Yuan e as precedentes?; Resposta: A dinastia Yuan foi diferente das dinastias anteriores por ser liderada por um povo não-han (não-chinês), o que resultou em tensões culturais e sociais. Além disso, a administração da dinastia Yuan foi mais centralizada, com um maior controle sobre as províncias periféricas.

Pergunta: Quais foram as principais consequências da queda da dinastia Yuan?; Resposta: A queda da dinastia Yuan marcou o fim do domínio mongol na China e abriu caminho para a ascensão da dinastia Ming. O período de transição entre as duas dinastias foi marcado por conflitos internos e instabilidade política, que afetaram o desenvolvimento cultural e social da China.

Pergunta: Quais foram os principais centros educacionais durante a dinastia Yuan?; Resposta: Durante a dinastia Yuan, as principais instituições educacionais eram as Academias Imperiais (Guozijian), que ofereciam cursos de estudos clássicos e literatura. Além disso, existiam escolas privadas e universidades que focavam em disciplinas como medicina, astronomia e filosofia.
