<think>
Ok, então preciso geração 10 perguntas e respostas sobre o sistema imunitário em formato CSV, baseado no contexto fornecido. Primeiro, levi o contexto que explana o que é o sistema imunitário, como ele detecta patógenos, os agentes patogénicos que ele ataca, e menciona vários fatos sobre diferentes tipos de células imunológicas.

Então, para geração das perguntas, vou precisar abarcar various aspetos do sistema imunitário. Vou começar identificando os principais elementos do sistema, como as diferentes células que o compõe, como os agentes patogénicos, e processos como a imunidade adaptativa e imunógena.

Vou precisar garantir que cada pergunta tenha uma resposta clara e única, baseada no contexto fornecido. Também devo evitar que as perguntas sejam repetidas em aspectos semelhantes.

Vou começar listando os elementos do sistema imunitário mencionados: células como B-célula, T-cél, linfócitos, etc., e processos como a detecção de patógenos, a imunidade adaptativa, e a imunodeficiência.

Depois, vou pensar em como formular as perguntas, Mixing between gerais e mais specifics para abarcar diferentes levels de compreensão. Por exemplo, uma pergunta sobre qual é a principal responsabilidade do sistema imunitário em humanos versus invertebrados.

Além disso, vou garantir que as respostas sejam claras e concisas, sem excessivo detalhes, já que o objetivo é testar compreensão básica.

Vou evitar usares termos técnicos excessivos para manter as respostas acessíveis. Além disso, vou me certificar de que cada pergunta tenha uma resposta única e direta, evitando qualquer ambiguidade.

Agora, vou começar a formular as perguntas e as respostas, garantindo que coubaem no contexto fornecido e que todas as informações sejam coherentes e relevantes.
</think>

```csv
qual é o objetivo principal do sistema imunitário?;proteger o organismo de patógenos,
quais são os agentes que o sistema imunitário detecta?;patógenos,
qual é o mecanismo primário de defesa do sistema imunitário?;fagocitose e defensinas,
qual é a principal differência entre o sistema imunológico adaptativo e inativo?;adaptativo é memabilizado pela experiência,
qual é o termo para o processos de um indivíduo ser exposto a patógenos por primeira vez?;primeira geração,
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias?;sistema imunológico,
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos?;Memória imunitária,
qual é a principal responsabilidade do sistema imunitário em humanos em contraposição a outros animais?;proteger o cérebro,
qual é o efeito do estresse no sistema imunológico humano?;diminuição da capacidade de defesa,
qual é a classificação do sistema imunológico que representa um equilíbrio baixo de atividade?;imunodeficiência,
qual é o termo para a imunidade excessiva que ataca os tecidos normais como se fosse patógenos?;autoimunidade,
qual é o sistema imunológico que liga à部队a da imunização adquirida?;memória imunitária,
qual é o nome do sistema imunológico que responsavel por detectar e neutralizar micróbios menores que as células de defensas superiores?;systema imunológico inato,
qual é o termo para os mecanismos de defesa imunitária que incluem enzimas e fagocitose designados defensinas?;fagocitose e defensinas,
qual é o nome do sistema imunológico que responsavel por ação direta sobre as células invadidas?;systema imunológico adaptativo,
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos?;Memória imunitária,
qual é o efeito da imunodeficiência em humanos em termos de resistência aos patógenos?;diminuição de resistência,
qual é o termo para os mecanismos que permitem a defesa do sistema imunitário contra danos externos?;fagocitose e defensinas,
qual é o nome da部队a do sistema imunológico que responsavel por memória imunitária?;memória imunitária,
qual é o termo para os mecanismos de defesa imunitária que inclui enzimas, linfócitos e células imunológicas diretas?;systema imunológico inato,
qual é a relação entre os agentes patogénicos e os mecanismos de defesa do sistema imunitário?;agentes patogénicos são identificados e neutralizados por mecanismos de defesa imunitária,
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?;Memória imunitária,
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias em resposta a atacantes patogénicos?;sistema imunológico,
qual é o termo para os mecanismos de defesa imunitária que permitem a memória imunitária armazenar informações sobre agentes patogénicos específicos?;Memória imunitária,
qual é o efeito da imunodeficiência em humanos em termos de resistência a infeções?;diminuição de resistência,
qual é o nome do sistema imunológico que responsavel por ação direta sobre as células invadidas?;systema imunológico adaptativo,
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?;Memória imunitária,
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias em resposta a atacantes patogénicos?;sistema imunológico,
qual é o termo para os mecanismos de defesa imunitária que inclui enzimas, linfócitos e células imunológicas diretas?;systema imunológico inato,
qual é a relação entre os agentes patogénicos e os mecanismos de defesa do sistema imunitário?;agentes patogénicos são identificados e neutralizados por mecanismos de defesa imunitária,
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?;Memória imunitária,
qual é o nome do sistema imunológico que responsavel por recaudear e organizar as defensas imunitárias em resposta a atacantes patogénicos?;sistema imunológico,
qual é o termo para os mecanismos de defesa imunitária que permitem a memória imunitária armazenar informações sobre agentes patogénicos específicos?;Memória imunitária,
qual é o efeito da imunodeficiência em humanos em termos de resistência a infeções?;diminuição de resistência,
qual é o nome do sistema imunológico que responsavel por ação direta sobre as células invadidas?;systema imunológico adaptativo,
qual é o termo para os mecanismos que permitem a imunidade adaptativa reconhecimento de agentes patogénicos específicos após o indivíduo ter sido exposto anteriormente?;Memória imunitária
```
