pergunta;resposta
Qual é a porcentagem dos ativos globais que pertencem aos 1% mais ricos?;40%
Segundo o Índice de Desenvolvimento Humano Ajustado pela Desigualdade, qual percentual da renda global corresponde a cada um dos 20 piores paises?;menos de 5%
De acordo com o Gini Coefficient, qual é a percentagem-media de pobreza global em 2017?;13,9%
Quanto tempo leva para que os 1% mais ricos acumulhem 50% da riqueza global?;7 anos
Qual é a principal causa da desigualdade global ativa?;a concentração de capital em algumas empresas multinacionais
Segundo os estudos recentes, qual é a expectativa de vida para os piores 20% da população global?;até 6 anos a mais do que os piores 40%
Quanto tempo leva para que as desigualdades globais se reduzam metade?;1 século
Qual é o valor estimado da riqueza combinada dos top 1000富豪 em 2017?;\$8,5 trilhões
Segundo a Oxfam, qual é a renda necessária para um indivíduo pertencer ao percentil 99%?; \$433.300
Qual é o impacto da COVID-19 sobre a desigualdade global?;um aumento na pobreza global
