pergunta;resposta
Qual foi a data de fundação de Jacksonville?;1791
Quanto é a população aproximada de Jacksonville?;Quase 950 mil habitantes
Em qual rio está localizada Jacksonville?;Rio St. Johns
Em que ano o Super Bowl XXXIX foi realizado em Jacksonville?;2005
Qual equipe esportiva tem sua sede na cidade?;Jacksonville Jaguars
De quem foi nomeada Jacksonville?;Andrew Jackson
Qual clube desportivo tem seu estádio em Jacksonville?;Jacksonville Jaguars
Quem fundou a cidade de Jacksonville?;Povos Timucua e a colônia francesa Fort Caroline
Qual é a importância do rio St. Johns para Jacksonville?;Centralização da cidade nas margens do rio
O que aconteceu no Super Bowl XXXIX em Jacksonville?;Finalização do Super Bowl XXXIX na Arena EverBank Field
