pergunta;resposta
6. Relation to medusas: Similar appearance but not closely related; convergent evolution.
pergunta;resposta
Qual é o filo ao qual pertencem os ctenóforos?;Ctenophora
Qual é outro nome comum para os ctenóforos?;Comb jellies ou caravelas-do-mar
Como se locomovem os ctenóforos?;Usando cílios arranjados em fileiras chamadas pentes
Qual é o intervalo de tamanho dos adultos de Ctenophora?;De cerca de 1 mm a 1,5 m
Muitas espécies de Ctenophora são capazes de emitir luz?;Sim
Os ctenóforos estão intimamente relacionados às medusas?;Não, as similaridades são resultado de convergência evolutiva
Onde são encontrados os ctenóforos comumente?;Em águas oceânicas e estuarinas
Desde quando os ctenóforos estão presentes no registro fóssil?;Desde o Cambriano
Descreva a estrutura do corpo dos ctenóforos.;Transparente, gelatinoso, com uma morfologia globosa
Quem descreveu os ctenóforos e em que ano?;Eschscholtz, em 1829
