pergunta;resposta
O que é o sistema imunológico?;É o conjunto de mecanismos defensivos do organismo contra patógenos.
Quais são os glóbulos brancos responsáveis por combater infecções?;Linfócitos, macrófagos e neutrófilos
O que são anticorpos?;Proteínas produzidas pelo sistema imunológico para neutralizar patógenos.
Qual é a função do tecido linfóide no corpo humano?;Produzir células do sistema imune e filtrar substâncias estranhas.
Quais são os dois principais tipos de resposta imune mediada por células T?;Resposta celular e humoral
O que são antígenos?;Substâncias que despertam uma resposta imunológica, geralmente proteínas ou carboidratos.
Como o sistema imunológico reconhece um agente patogênico?;Por meio de marcadores moleculares específicos chamados antígenos.
Qual é a função dos anticorpos na imunidade humoral?;Neutralizar e marcar patógenos para destruição
O que são células T reguladoras (Tregs)?;Células T que controlam a resposta imune evitando uma reação excessiva.
Como o sistema imune se beneficia da vacinação?;Produzindo memória imunológica contra patógenos específicos sem causar a doença.
