pergunta;resposta
O que é o Painel Intergovernamental sobre Mudanças Climáticas (IPCC)?;É um órgão das Nações Unidas que avalia o conhecimento científico sobre mudanças climáticas.
Quando foi criado o Painel Intergovernamental sobre Mudanças Climáticas?;Foi criado em 1988.
Quais são as principais funções do IPCC?;Avaliar o conhecimento científico, tecnológico e socioeconômico sobre mudanças climáticas.
Quantos grupos de trabalho compõem o IPCC?;O IPCC é composto por três grupos de trabalho principais.
Qual o papel do Grupo de Trabalho I do IPCC?;Avaliar as mudanças no sistema climático global.
Qual o papel do Grupo de Trabalho II do IPCC?;Avaliar as consequências das mudanças climáticas para os ecossistemas e os seres humanos.
Qual o papel do Grupo de Trabalho III do IPCC?;Avaliar as opções de mitigação das mudanças climáticas.
Quais são as publicações mais conhecidas do IPCC?;Os Relatórios de Avaliação do IPCC.
Quantos países membros o IPCC tem?;O IPCC tem 195 países membros.
Qual o objetivo principal do IPCC?;Fornecer uma base científica para a ação internacional sobre as mudanças climáticas.
pergunta;resposta
O que é o Painel Intergovernamental sobre Mudanças Climáticas (IPCC)?;É um órgão das Nações Unidas que avalia o conhecimento científico sobre mudanças climáticas.
Quando foi criado o Painel Intergovernamental sobre Mudanças Climáticas?;Foi criado em 1988.
Quais são as principais funções do IPCC?;Avaliar o conhecimento científico, tecnológico e socioeconômico sobre mudanças climáticas.
Quantos grupos de trabalho compõem o IPCC?;O IPCC é composto por três grupos de trabalho principais.
Qual o papel do Grupo de Trabalho I do IPCC?;Avaliar as mudanças no sistema climático global.
Qual o papel do Grupo de Trabalho II do IPCC?;Avaliar as consequências das mudanças climáticas para os ecossistemas e os seres humanos.
Qual o papel do Grupo de Trabalho III do IPCC?;Avaliar as opções de mitigação das mudanças climáticas.
Quais são as publicações mais conhecidas do IPCC?;Os Relatórios de Avaliação do IPCC.
Quantos países membros o IPCC tem?;O IPCC tem 195 países membros.
Qual o objetivo principal do IPCC?;Fornecer uma base científica para a ação internacional sobre as mudanças climáticas.
