pergunta;resposta
Quando começou a crise do petróleo de 1973?;outubro de 1973,
Qual foi o motivo da crise do petróleo de 1973?;suporte a Israel durante a Guerra do Yom Kippur,
Quais países foram inicialmente alvo do embargo petrolífero?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos,
Qual foi o preço do petróleo em março de 1974?;cerca de US$ 12 por barril,
Qual é outro nome para a crise do petróleo de 1973?;primeiro choque do petróleo,
Quais países foram incluídos no embargo após a expansão?;Portugal, Rodésia e África do Sul,
Quando o embargo petrolífero terminou?;março de 1974,
Qual foi o resultado das negociações do governo Nixon?;Israel se retirou do Sinai e do Golan,
Quando ocorreu a segunda crise do petróleo?;1979,
Quais foram os efeitos econômicos da crise?;aumento dos preços do petróleo e crises internacionais.
