pergunta;resposta
O que é a ideologia política-religiosa defendida pelos "al-Islamiyyun"?;Islamismo;
Qual é o objetivo principal dos defensores do Islamismo político?;Implementar sua interpretação do Islã no Estado ou na sociedade;
Qual é uma característica importante das organizações islâmicas mencionadas que seguem a ideologia de Islamismo?;Rejeição de influências não-muçulmanas, especialmente ocidentais e econômicas universais;
O que o termo "xaria" se refere em contexto de islamismo político?;Lei islâmica aplicada na sociedade e no Estado;
Qual movimento é citado como exemplo do Islamismo na Argélia?;Movement for Democracy in Algeria;
Que grupo rebelde sírio possui ideologia baseada no Islamismo?;19th Division (Syrian rebel group);
O que o Islamismo busca além da implementação da xaria e unidade política pan-islâmica?;Criação de Estados islâmicos independentes;
Qual partido egípcio é mencionado como seguindo a ideologia do Islamismo?;Islamic Party (Egypt);
Quais são algumas das organizações indicadas que rejeitam influências não-muçulmanas e seguem o Islã político?;Al-Ahrar Bloc, Free Sunnis of Baalbek Brigade;
Qual imagem representativa é associada ao movimento do Islamismo em Sydney, Austrália?;2012 Sydney Islamic protests.jpg;
