pergunta;resposta
Qual porcentagem de ativos globais que possui 1% das pessoas mais ricas?;40%
Segundo a Oxfam, as 85 pessoas mais ricas têm riqueza igual a quantas pessoas comuns?;cerca de 3,5 bilhões de pessoas.
O que é utilizado para medir a desigualdade econômica entre países?;Índice de Desenvolvimento Humano Ajustado pela Desigualdade (IDHD)
Qual foi a maior descoberta da Oxfam em relatório sobre riqueza global?;1% das pessoas detêm metade da riqueza do mundo
Quanto é a riqueza combinada dos "milionários de 10 milhões de dólares" em 2008?;quase US $ 41 trilhões
Qual porcentagem dos ativos globais pertencia a apenas 1% dos adultos em 2000?;40%
O que as três pessoas mais ricas do mundo possuem mais do que as 48 nações mais baixas juntas?;ativos financeiros
Quanto foi a riqueza combinada dos "milionários de 10 milhões de dólares" em 2008?;quase US $ 41 trilhões
Que porcentagem dos ativos globais são possuídos pelo topo 1% das pessoas?;aproximadamente 40%
Qual grupo tem uma renda mais alta na China do que nos Estados Unidos e na Europa?;os 10% mais ricos
