<think>
Ok, vou começar analisando o que o usuário pediu. Ele quer que eu gere um quarto questionário em formato CSV sobre a Peste Negra, com 10 perguntas e respostas corretas, baseadas no contexto e fatos fornecidos.

Primeiro, leio o contexto completo para entender as informações relevantes sobre a Peste Negra. Vejo que a PANTELA fornece um amplo conjunto de dados, incluindo datas, localizações, causas, efeitos e outros detalhes históricos. Isso me ajuda a identificar os pontos-chave para cada pergunta.

Em seguida, leio os fatos específicos que contêm informações sobre origens, precisão das datas, localizações, efeito da doença, entre outras coisas. Essas informações serán essenciais para formar as perguntas e as respostas corretas.

Agora, preciso garantir que as 10 perguntas sejam variadas e cobram diferentes aspectos do contexto. Isso me direciona para criar perguntas sobre a origem, a transmissione, os efeitos sociais e econômicos, a resistência, a recuperação da população, os efeitos da transmissão global, o impacto na demografia, as causas, os efeitos da fome chinesa e a origem da doença.

Para cada pergunta, preciso escolher uma resposta que esteja explícita ou inferível a partir dos fatos fornecidos. Devo evitar repetiese perguntas semelhantes e garantir que as respostas sejam precisas e confiáveis.

Além disso, tenho de manter o formato CSV correto, com cada linha representando uma pergunta e sua resposta, separadas por ; e terminando com ; no final da linha.

Vou começar organizando as perguntas, garantindo que cobram todo o compasso do tema para que a geração das respostas seja consistente e abrangente. Em seguida, verificarei cada pergunta e resposta para evitar erros e garantir que tenham um nível de detalhes suficiente sem exceder.

Finalmente, coxerei todo o conjunto de pares para garantir que estejam formatados corretamente e que todas as respostas estejam presentes no contexto fornecido.
</think>

```csv
pergunta;resposta
De onde se originou a morte negra?;na Ásia Central
Como a morte negra chegou ao地中海 e à Europa?;via navios mercantes genoveses
Quando a morte negra matou uma quarta parte da população europeia?;1346
Quantas pessoas estiveram vítimas da morte negra na Europa?;cerca de 25 milhões
De qual origem os efeitos da morte negra?;enzoóticos
Quando a morte negra se developede uhma?;no século X
Qual foi o tempo que a morte negra permaneceu affectando o mundo?;até o século XXI
O que é uma doença enzoótica e como funciona?;uma doença transmitida por insetos, como a peste negra
Quais foram as causas da morte negra?;fezes de abateiros, abcessos, gangrela e fome chinesa
Quantas estápidias dataram das pragas foram identificadas?;duas, data 1338 e 1339
Quando a morte negra fez um impacto social no mundo medieval?;causou terríveis danos econômicos e sociais
O que é a morte negra e qual sua importância histórica?;a maior epiphyse de peste humana na Histoória moderna
Quais fueron as causas da morte negra mais comuns?;fezes, abateiros, gangrela, fome chinesa e placenta infectada
Em quais países a morte negra fez maior impacto?;na China, no Japão, na Coreia do Norte, na Índia e na América do Norte
Quando foi a morte negra finalmente contida?;no século XVIII
Qual foi o impacto da morte negra na demografia da Europa medieval?;a população europeia perdeu um terço das suas pessoas
De qual origem se supõe que surteu a doença?;da China, apontando para a introduction de Yersinia pestis
Quais foram as causas principais da morte negra na Europa medieval?;fezes de abateiros e abcessos
```
