pergunta;resposta
Qual é a classificação filogenética dos ctenóforos?;pertencem ao reinho Animal, clade Eumetazoa, filo Cnidaria (porém não são cnidários)
Quais são as principais características morfológicas dos ctenóforos?;globulares, presença de mesogleia gelatinosa, transparência das membranas e 'pentes' formados por grupos de cílios
Como os ctenóforos se locomovem?;usando 'pentes', estruturas compostas por grupos de cílios
Qual é o tamanho máximo dos ctenóforos?;até 1,5 metros de comprimento
Os ctenóforos são bioluminescentes?;sim, muitas espécies exibem bioluminescência
Em que período do tempo os fósseis de ctenóforos são encontrados?; desde o Cambriano até os tempos presentes
Quais são as principais categorias no Wikipédia sobre ctenóforos?;Artigos, Categorias, Imagens, Temas e Phylum
Quais são as subdivisões dos ctenóforos?;Tentaculata, Nuda e Scleroctenophora
O que é o papel dos 'pentes' nos ctenóforos?;servem para nadar, capturar alimentos e se comunicar
Qual é a relação evolutiva entre os ctenóforos e as medusas?;representam convergência evolutiva, pois embora semelhantes, não são parentes próximos
