pergunta;resposta
Qual é a unidade de medida da força no Sistema Internacional?;newton
Quantas leis de Newton existem?;três
Qual é a primeira lei de Newton?;lei da inércia
Qual é a fórmula da segunda lei de Newton?;F = m × a
Qual é a terceira lei de Newton?;ação e reação
Qual é o tipo de grandeza física que a força representa?;vetorial
Qual é o efeito de uma força aplicada a um objeto?;alteração do movimento (aceleração)
O que é uma força normal?;força perpendicular exercida por uma superfície
Qual é o tipo de força que age entre objetos com carga elétrica?;força eletromagnética
O que é o peso de um objeto?;força gravitacional exercida por um corpo celeste
