pergunta;resposta
Quantos presidentes dos EUA são ex-alunos da Harvard University?;oito presidentes dos EUA,
pergunta;resposta
Quantas bibliotecas individuais compõem a biblioteca principal da escola?;79 bibliotecas individuais
pergunta;resposta
Quantos volumes estão contidos na biblioteca?;18 milhões de volumes.
pergunta;resposta
Qual organização Harvard encontrou em 1900?;Associação de Universidades Americanas
pergunta;resposta
Quem foi o líder durante a Grande Depressão e a Segunda Guerra Mundial na Harvard University?;James Bryant Conant
pergunta;resposta
Quando o curso de graduação se tornou coeducacional?;1977
pergunta;resposta
pergunta;resposta
Qual foi o nome do fundador da Harvard University?;John Harvard
pergunta;resposta
Em que ano a Harvard University se tornou uma universidade de pesquisa moderna?;1872
pergunta;resposta
Quantos ganhadores do Nobel estão entre os ex-alunos da escola?;150 ganhadores do Nobel
