pergunta;resposta
Qual foi a origem da Dinastia Yuan?;A dinastia Yuan teve origem mongol.
Quem estabeleceu a Dinastia Yuan?;Kublai Khan, neto de Genghis Khan.
Em que ano foi estabelecida a Dinastia Yuan?;1271.
Qual foi um dos principais eventos militares da Dinastia Yuan?;A conquista da China南宋 pelo Império Mongol.
Quais eram as duas cidades mais importantes da Dinastia Yuan?;Shangdu e Khanbaliq.
Que templo foi construído durante a era da Dinastia Yuan?;O Xiyuan Temple.
Qual foi uma das potências vizinhas da Dinastia Yuan?;A Coreia (Goryeo).
Quanto tempo durou a Dinastia Yuan na China?;97 anos, de 1271 a 1368.
 Qual rebelião contribuiu para o declínio da Dinastia Yuan?;As revoltas dos turbantes vermelhos (Red Turban Rebellion).
Qual imperador mongol fundou a Dinastia Yuan na China?;Kublai Khan.
