pergunta;resposta
O que é uma forma de resistência não-violenta contra leis injustas?;desobediência civil;
Quem popularizou o conceito de desobediência civil através do documento "A Desobediência Civil"?;Henry David Thoreau;
Em qual ano Martin Luther King Jr. escreveu a carta "Carta da Cela na Prisão Birmingham", onde discute a teoria da desobediência civil?;1963;
Qual movimento social americano do século XX é conhecido por utilizar estratégias de desobediência civil para promover os direitos civis dos afro-americanos?;movimento pelos direitos civis;
O que é uma ação intencionalmente ilegal tomada como forma de protesto contra leis injustas ou práticas prejudiciais?;desobediência civil;
Qual filósofo político inglês do século XVII argumentou em favor da desobediência civil quando o governo viola os direitos naturais dos cidadãos?;John Locke;
Em qual país surgiu um movimento de desobediência civil liderado por Mahatma Gandhi contra a opressão britânica?;Índia;
Qual é uma consequência potencial da prática da desobediência civil para os participantes?;prisão;
Qual foi o objetivo principal do movimento pelos direitos civis ao usar técnicas de desobediência civil nos Estados Unidos?;combater a segregação racial e promover a igualdade racial;
Como a desobediência civil pode influenciar diretamente as mudanças na legislação ou políticas públicas?;chamando atenção para questões injustas através do protesto público;
