pergunta;resposta  
Qual foi o principal evento histórico associado à Varsóvia no século XX?;A Revolta de Varsóvia de 1944  
Qual é o nome do bairro histórico de Varsóvia reconstruído após a Segunda Guerra Mundial?;Vila Velha (Stare Miasto)  
Qual é o nome do castelo real em Varsóvia, reconstruído após os bombardeios da Segunda Guerra Mundial?;Castelo Real de Varsóvia  
Qual rio passa por Varsóvia e é um dos principais rios da Europa?;Vístula  
Qual é a população estimada de Varsóvia em 2023?;1,8 milhão de habitantes  
Qual é o apelido de Varsóvia, associado ao seu centro histórico?;Cidade do Castelo Real  
Qual é a praça principal de Varsóvia, localizada no centro da cidade?;Rynek Główny (Praça Principal)  
Qual é o nome da catedral de Varsóvia, reconstruída após os bombardeios da Segunda Guerra Mundial?;Catedral de São João  
Em que ano Varsóvia foi fundada?;1300  
Qual estilo arquitetônico predominante no centro histórico de Varsóvia?;Gótico e Renascentista
