pergunta;resposta
Qual paradigma contrasta com a comutação de pacotes?;comutação de circuitos;
O que Donald Davies é conhecido por ter introduzido?;nome moderno para comutação de pacotes;
Quem desenvolveu o conceito Switching Adaptive Message Block?;Paul Baran;
Qual vantagem principal da comutação de pacotes é mencionada no texto?;otimização do uso da largura de banda da rede;
Em qual tipo de comutação os pacotes seguem um caminho virtual fixo?;com ligação (circuito virtual);
Que exemplo específico é dado para a comutação sem ligação?;endereço IP;
Qual método de encaminhamento oferece garantia de entrega ordenada dos pacotes?;com ligação (circuito virtual);
Quem é creditado por inspirar várias redes europeias de comutação de pacotes?;Donald Davies;
O que a comutação sem ligação permite que a rede faça quando um link se quebra?;reajuste-se;
Qual vantagem da comutação sem ligação é destacada no texto?;robustez superior;
