pergunta;resposta
Qual é o comprimento do rio Reno?;1 233 km;
O rio Reno deságua em qual mar?;mar do Norte;
Que tipo de lugar é o Reno na categoria wiki?;NaturalPlace;
Qual é um rio que desagua no Reno?;Moselle;
Em qual país nasce o Reno?;Suíça;
Qual modelo de página wiki usa o Reno para representação da pronúncia?;Template:IPA-hu;
Que cidade atravessa o Kennedy Bridge (Bonn)?;Bonn;
De qual lugar deriva a origem do Elbling?;Reno;
Qual é o nome do tipo de subdivisão do Reno na Alemanha?;Cologne;
Qual modelo de página wiki usa o Reno para detalhes da localização geográfica?;Template:Coord;
