pergunta;resposta
Qual o principal objetivo da desobediência civil?;oposição a ordens ou leis injustas
Quem formulou o conceito de desobediência civil originalmente?;Henry David Thoreau
Além de Thoreau, quem aplicou a desobediência civil com sucesso?;Mahatma Gandhi e Martin Luther King
Em qual contexto a desobediência civil é considerada um direito?;quando um governo não satisfaz as exigências da população
Qual a característica principal da desobediência civil?;pacífica e não violenta
De acordo com o texto, qual é um dos exemplos de métodos de protesto?;Civil disobedience
Qual o propósito da desobediência civil em relação às leis?;questionar e resistir a leis consideradas injustas
Qual dos exemplos listados demonstra o uso da desobediência civil em protestos?;2017 Serbian protests
Em qual contexto a desobediência civil é utilizada em protestos?;como método de resistência e oposição
Qual categoria engloba a desobediência civil?;ativismo e resistência não violenta.
