pergunta;resposta
Em qual estado americano está localizada a cidade de Jacksonville?;Flórida
Qual rio é central para a localização de Jacksonville?;Rio St. Johns
De acordo com o texto, qual foi o nome dado ao assentamento britânico no local de Jacksonville?;Cow Ford
Em que ano Jacksonville foi oficialmente incorporada?;1832
Qual o número de habitantes aproximado de Jacksonville, de acordo com o censo de 2020?;Quase 950 mil
Qual o nome do evento esportivo que ocorreu em Jacksonville em 6 de fevereiro de 2005?;XXXIX Super Bowl
Qual povo indígena habitava a área de Jacksonville originalmente?;Povo Timucua
Qual a posição de Jacksonville como cidade mais populosa da Flórida?;A mais populosa
Qual a distância aproximada entre Jacksonville e a linha de estado da Geórgia?;40 quilômetros
Qual o nome do primeiro governador militar do território da Flórida, em homenagem ao qual a cidade foi nomeada?;Andrew Jackson
