<think>
Ok, eu preciso ajudar a gerar 10 pares de perguntas e respostas baseadas no contexto fornecido sobre a British Satellite Broadcasting (BSB). Primeiro, vou analisar o contexto e os fatos disponíveis para identificar aspectos relevantes que possam ser transformados em perguntas.

O BSB foi fundado em 1986 e foi incorporado em novembro de 1990 para formar a Sky UK. Isso me lembra de perguntas sobre a data de fundação e a fusão com a Sky Television. Além disso, a empresa teve um nome diferente inicialmente, então uma pergunta sobre isso pode ser útil.

Também vejo que o BSB tem vários canais de TV, como The Movie Channel, Galaxy e The Power Station, além de The Computer Channel (BSB). Isso me permite criar perguntas sobre os nomes dos canais ou a propriedade destes canais.

Além disso, existem informações sobre a sucção da BSB pela Sky UK em 1990. Perguntas sobre essa fusão e a consequente extinção da BSB também são relevantes.

Outros fatos incluem a localização da empresa no Marco Polo House em Londres, os logos e imagens representativas, além de informações sobre os filmes produzidos pela BSB, como "Memphis Belle". Isso pode levar a perguntas sobre a produção de filmes ou o localização.

Tenho que garantir que cada pergunta tenha uma única resposta correta e que seja claramente relacionada ao conteúdo. Vou evitar repetições e assegurar que cada pergunta aborde um aspecto diferente para manter a variedade.

Finalmente, vou organizar essas pontos em 10 perguntas diferentes, cada uma com a resposta correta extraída dos fatos fornecidos.
</think>

pergunta;resposta
Qual foi o ano de fundação da British Satellite Broadcasting?;1986-12-11
Qual foi a empresa resultante da fusão da Sky Television e da British Satellite Broadcasting?;BSkyB
Em que ano a British Satellite Broadcasting foi incorporada?;1990-11
Qual foi o nome original do que hoje é chamado de British Sky Broadcasting?;British Satellite Broadcasting
Quem comprou os direitos de transmissão dos Jogos Olímpicos de 2012?;The Movie Channel (British TV channel)
Qual foi a sede da British Satellite Broadcasting?;Marco Polo House, Londres
Qual foi o nome do estúdio onde o filme "Memphis Belle" foi produzido?;British Satellite Broadcasting
Quem criou a The Power Station (TV channel)?;British Satellite Broadcasting
Em que ano a British Satellite Broadcasting começou a transmitir?;1990-03-25
Qual foi o propósito principal da British Satellite Broadcasting?;Providir transmissões diretas via satélite de serviços de televisão
