pergunta;resposta
Preciso garantir que as respostas sejam claras e singulares, sem a necessidade de cálculos ou interpretações adicionais. Devo manter o formato CSV exatamente como o exemplo fornecido, com ; separando cada coluna.
pergunta;resposta
Qual foi a origem da doença causadora da Peste Negra?;Yersinia pestis
Em qual região da Europa a Peste Negra spreads mais rapidamente?;Espanha e Portugal
Qual foi a razão pela qual muitas pessoas deram de vida durante a Peste Negra?;A vacação de animais eanimais não ajudou
Qual foi o efeito principal da Peste Negra na população da Europa?;A reductions da população em 30% a 60%
Qual foi o impacto da Peste Negra na economies das cidades?;O estagio de pânico e a vacaria
Qual foi a natureza da doença que causeu a Peste Negra?;Bubônica plague causada pela bactéria Yersinia pestis
Quando foi aproximadamentea Peste Negra afetou a Europa?;Entre os anos 1347 e 1351
Qual foi o efeito social da Peste Negra?;A danificação da infraestrutura e os conflitos sociais
Qual foi a origem da doença que causeu a Peste Negra?;Na Ásia Oriental
O que aconteceu com as populações de Platina após a Peste Negra?;Recuperaram apenas no século XIX
