<think>
Okay, let me tackle this query. The user wants me to generate 10 CSV pairs of questions and answers based on the provided context and facts about civil disobedience. First, I need to make sure I understand the requirements. The questions should be varied, cover different aspects, and each have a single correct answer derived from the content. No markdown, just plain CSV.

Looking at the context, civil disobedience is defined as a peaceful protest against unjust orders or oppressive governments. It's linked to Thoreau, Gandhi, and Martin Luther King. The facts provided are a list of events and their association with civil disobedience, like the 1998 Russian miners' strike, Montenegrin crisis, etc. Also, there are some RDF triples and DBpedia resources, but the main content is the definition and examples.

So, the key points to cover in questions would be: definition, key figures (Thoreau, Gandhi, King), examples of events, the concept's purpose, and maybe the distinction from other forms of protest. I need to ensure each question is unique and not repetitive.

Let me start by formulating the first question about the definition. Then, mention the key people. Next, examples from the facts, like the Indian independence movement. Then, the purpose of civil disobedience as per the context. Also, the originator, Henry David Thoreau. Then, the application by Gandhi and King. Maybe a question about the nature of civil disobedience (peaceful). Another could be about the right to disobey a government. Also, the mention of specific events like the 2019 End SARS protests. And the concept's relation to nonviolence. Finally, the examples from the facts like the 2022 Kazakh unrest.

Wait, I need to make sure each answer is directly from the context. For example, the answer to the originator is Henry David Thoreau. For the application, Gandhi and King. For the purpose, opposing unjust orders. The examples should be specific events listed in the facts. Let me check if I have 10 unique questions. Let me count: 1. Definition, 2. Key figures, 3. Gandhi's application, 4. Purpose, 5. Originator, 6. King's role, 7. Peaceful nature, 8. Right to disobey, 9. Specific event (End SARS), 10. Nonviolence. That's 10. Now, ensure answers are correct. For example, the 2019 End SARS protests are mentioned in the facts. Also, the answer for the originator is Thoreau. The answer for the right to disobey is the population's right. The nonviolence part is covered in the context. Okay, that should cover it. Now, format them into CSV without any extra text.
</think>

pergunta;resposta
Qual é a definição de desobediência civil conforme descrita no contexto?;Forma de protesto político feito pacificamente e que se opõe a alguma ordem considerada injusta ou contra um governo visto como opressor pelos desobedientes.
Quem formulou o conceito de desobediência civil originalmente?;Henry David Thoreau
Qual foi um dos principais exemplos de aplicação da desobediência civil na história?;Independência da Índia e do Paquistão, liderada por Mahatma Gandhi
Qual é o objetivo principal da desobediência civil segundo o contexto?;Oposição a ordens que possuem comportamento de injustiça ou contra um governo opressor
Quem utilizou a desobediência civil na luta pelos direitos civis nos Estados Unidos?;Martin Luther King
A desobediência civil é um método de protesto violento ou pacífico?;Pacífico
Qual é o direito mencionado no contexto em caso de um governo não satisfazer as exigências da população?;Direito de desobedecê-lo
Qual evento específico é citado como exemplo de desobediência civil em 2019?;End SARS memorial protest
Qual é a relação entre a desobediência civil e a não violência?;Ela é uma forma de protesto que se opõe à violência
Quais são os exemplos de eventos associados à desobediência civil mencionados nos fatos?;2019 Montenegrin anti-corruption protests;2022 Kazakh unrest;2017 Serbian protests
