pergunta;resposta
direito_da_uniao_europeia;Definição do direito da UE
direitos da personagem;O direito à responsabilidade civil
empresas;As empresas que não sofrem castigos
organios;A Justiça Europeia é um órgão fundamental
cooperacao;Cooperação entre os países em domínio privado
protecao_ambiental;O direito a ser protegido
saude;O direito à saude, imenta a responsabilidade da empresa
liberdade_de_informacao;Liberdade de informação
empresas_impensadas;Empresas que não sofrem castigos
direitos_impenalizados;Os direitos da cooperacao e da empresa
