pergunta;resposta
Quando a British Satellite Broadcasting foi incorporada?;novembro de 1990
Qual empresa foi formada após a incorporação da British Satellite Broadcasting?;British Sky Broadcasting (BSkyB)
Em que ano a British Satellite Broadcasting foi fundada?;1986
Onde a British Satellite Broadcasting estava localizada?;Londres
Quais canais de TV eram propriedade da British Satellite Broadcasting?;The Movie Channel, The Power Station, Galaxy, The Computer Channel, Now
O que aconteceu com a British Satellite Broadcasting em 1990?;Foi fundida com Sky Television para formar a BSkyB
Qual tipo de organização a British Satellite Broadcasting foi classificada?;Companhia (Company)
Quais filmes foram produzidos pela British Satellite Broadcasting?;Hardware, Memphis Belle
Qual modelo de página wiki foi usado para a British Satellite Broadcasting?;Template:BSkyB
Quais categorias a British Satellite Broadcasting pertencia?;Category:British companies established in 1986, Category:1990s in British television
