pergunta;resposta
Qual é o órgão principal responsável por tomar decisões na União Europeia?;O Conselho da União Europeia;
Quem é o chefe de Estado da União Europeia?;Não há um chefe de estado único, a UE é uma união entre estados soberanos;
Quantos países atualmente compõem a União Europeia?;27;
Qual dos seguintes não é um princípio fundamental da União Europeia?;Monarquia constitucional;
Quais são os três pilares da União Europeia antes do Tratado de Nice em 2001?;Comunidade Européia, Política Externa e Segurança Comum (PESC) e Cooperação Judicial e Policial;
Qual tratado estabeleceu a Corte de Justiça da União Europeia?;Tratado de Roma de 1957;
Quais são os objetivos principais do Tratado da União Europeia (TUE)?;Promover a paz, segurança comum e bem-estar dos cidadãos europeus;
Qual princípio estabelece que as decisões devem ser tomadas o mais próximo possível dos cidadãos?;Princípio da proximidade;
O que é uma moeda única na União Europeia?;Euro;
Quais são os países fundadores da União Europeia?;Bélgica, Alemanha, França, Itália, Luxemburgo e Países Baixos;
