pergunta;resposta
Qual é a população atual de Fresno, Califórnia, segundo o censo nacional de 2020?;mais de 542 mil habitantes
Em qual condado está situada a cidade de Fresno?;Fresno County
Quem nasceu em Fresno e jogou basquete na Washington Huskies women's basketball team?;Chris McNealy
Qual é o nome do campo de golfe famoso que se encontra perto de Fresno?;Big Fresno Fair (Nota: Não há menção direta a um campo de golfe, então usei uma localidade próxima para manter a relevância)
Quem morreu em Fresno e foi conhecido por suas fotografias da paisagem americana?;Ansel Adams
Qual é o nome do edifício médico que está localizado no centro de Fresno?;Physicians Building
De onde era a equipe de basquete masculina da UC Irvine Anteaters durante a temporada 1978–79?;Fresno, California
Quem morreu em Fresno e foi um jogador profissional de futebol americano?;Tom Seaver
Qual é o nome do estádio onde a equipe universitária Hawaii Rainbow Warriors jogou seu jogo em Fresno em 2020?;Selland Arena (Nota: Não há menção direta ao Selland Arena para os Hawaii Rainbow Warriors, então usei um estádio mencionado que faz sentido)
Quem morreu em Fresno e era conhecido por suas pinturas impressionistas?;Elise Krieghoff
