```csv
pergunta;resposta
A Peste Negra ocorreu entre quais anos no seu pico na Europa?;1347 e 1351
Qual bactéria é acredita-se ser a causa da Peste Negra?;Yersinia pestis
Quantas pessoas a Peste Negra resultou em morte na Eurásia?;75 a 200 milhões de pessoas
A Peste Negra foi qual surto europeu de peste?;O primeiro grande surto
Qual doença causada pela Yersinia pestis é a mais comum durante a Peste Negra?;Peste bubónica
A Peste Negra originou-se em que região?;Ásia Central ou Ásia Oriental
Como a praga se espalhou de Crimea para o resto da Europa?;Por pulgas que viviam nos ratos que viajavam em navios mercantes genoveses
Qual foi a estimativa percentual da população europeia morta pela Peste Negra?;30% a 60%
Quanto tempo levou para a população da Europa se recuperar ao nível anterior à Peste Negra?;200 anos
Qual século viu uma redução na população mundial devido à Peste Negra?;Século XIV
```
