perguntai;resposta
Everett Mendelsohn pertence à instituição Harvard University;james cullen martin possui alma mater harvard university
David Edwards (engineer) possui locais de trabalho Harvard University;david edwards (engineer) possui locais de trabalho harvard university
Jyotiraditya Scindia possui alma mater Harvard University;everett mendelsohn pertence à instituição harvard university
Bobby Scott (politician) foi educado em Harvard University;james cullen martin possui alma mater harvard university
Eileen Donahoe possui alma mater Harvard University;laura esserman foi educado em harvard university
Frank B. Livingstone possui alma mater Harvard University;charles john innes possui alma mater harvard university
Henry Barnard Kümmel possui alma mater Harvard University;james cullen martin possui alma mater harvard university
Ryan Williams (entrepreneur) possui alma mater Harvard University;samuel freeman (filósofo) foi educado em harvard university
James Cullen Martin possui alma mater Harvard University;ian jasoh possui alma mater harvard university
Richard Holden (economist) possui alma mater Harvard University;nancy kanwisher pertence à instituição harvard university
