```csv
pergunta;resposta
A Guerra Franco-Indígena ocorreu em que século?;XVII
Quem liderou os indígenas durante a maior parte da Guerra Franco-Indígena?;Tecumseh
Qual foi o principal motivo para o conflito entre franceses e índios na Guerra Franco-Indígena?;Expansão territorial e controle comercial
A Guerra Franco-Indígena terminou com qual tratado?;Tratado de Greenville
Quantos anos durou a Guerra Franco-Indígena, aproximadamente?;15 anos
Quais foram as principais tribos indígenas envolvidas na Guerra Franco-Indígena?;Shawnee e Miami
Durante a Guerra Franco-Indígena, os franceses buscavam proteger principalmente qual área comercial?;Rios do Ohio e Mississippi
Qual foi o principal aliado dos indígenas durante a Guerra Franco-Indígena?;Inglaterra
O que os índios indigenas tentaram evitar com a guerra contra os franceses?;Perda de território e influência na região do Ohio
Como se chamava o período de paz entre as tribos indígenas e os colonizadores após a Guerra Franco-Indígena?;Paz de Greenville
```
