pergunta;resposta
A palavra "imperium" tem suas origens em qual língua?;latina  
O termo "imperium" refere-se a qual conceito na história?;poder centralizado de um império  
Qual é o exemplo clássico de "Imperium Romanum" mencionado no contexto?;império romano  
Como os impérios são geralmente estabelecidos, segundo o texto?;por conquista  
Qual é a característica principal da administração de um império?;domínio de um centro sobre periferias  
Qual partido político é associado ao termo "imperialismo" nos fatos?;partido canadense  
Qual evento histórico tem como motivação o "imperialismo" segundo os dados?;genocídio circasso  
O que define o "imperialismo" como uma categoria de análise?;conceito com traços comuns  
Qual período histórico é associado à "era do imperialismo" no caso de Angola?;império português  
Como os impérios estendem seu controle sobre territórios?;através de dominação centralizada
